match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0693,1,cKuldeepYadavbBumrah,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3781,50,cRahanebAshwin,102.44,4,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3256,0,bKhan,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4021,58,c†BillingsbBall,114.29,8,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4020,25,bWood,111.11,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3800,2,runout,40.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1128,0,cMohammadNabibNaveen-ul-Haq,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0765,12,cAsgharAfghanbZiaurRahman,111.11,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0764,115,csubbMujeebUrRahman,182.00,12,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0712,32,cAftabAlambFareedAhmad,142.11,1,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0615,61,cMohammadNabibShapoorZadran,245.00,6,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4009,34,cShafiqullahbMohammadNabi,93.33,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3722,0,cAsgharAfghanbHamidHassan,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3730,43,lbwbHamidHassan,150.00,5,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4026,0,cAndersonbHenry,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4023,17,bKuggeleijn,100.00,1,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4285,0,bRoach,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0353,100,cMohammadNabibAmirHamza,176.74,8,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3421,6,c†MohammadShahzadbShapoorZadran,120.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0242,102,cGulbadinNaibbDawlatZadran,207.89,9,3,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0137,23,cNawrozMangalbHamidHassan,91.30,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3138,7,bKhaliqDad,50.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0130,18,c&amp;bMohammadNabi,58.62,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4259,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=2839,4,c†HopkinsbOram,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3829,0,c†WadebCoulter-Nile,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0267,8,cWatsonbStarc,58.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4295,150,cLitonDasbAbuJayed,92.20,8,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4022,-,dnb,-,-,-,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4025,0,cSabbirRahmanbMustafizurRahman,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0543,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3915,17,cRashidKhanbMohammadNabi,76.19,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3937,37,cZampabBoland,111.11,5,1,Top Order
