match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=3760,8,cKohlibMohammedShami,46.67,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3588,118,bISharma,84.17,9,2
Matches/MatchScorecard_ODI.asp?MatchCode=3587,119,cSharmabAshwin,89.83,9,0
Matches/MatchScorecard_ODI.asp?MatchCode=3586,163,c&amp;bKohli,111.57,18,3
Matches/MatchScorecard_ODI.asp?MatchCode=3935,98,bO'Brien,124.24,8,2
Matches/MatchScorecard_ODI.asp?MatchCode=4323,80,cMohammadNabibGulbadinNaib,94.44,8,0
Matches/MatchScorecard_T20.asp?MatchCode=0555,55,c†MohammadShahzadbAmirHamza,145.16,6,2
Matches/MatchScorecard_T20.asp?MatchCode=0415,57,c†DunkbCummins,177.78,5,2
Matches/MatchScorecard_T20.asp?MatchCode=0414,0,c†DunkbBollinger,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0413,52,cWhitebBoyce,117.95,4,1
Matches/MatchScorecard_T20.asp?MatchCode=0371,47,c†HaddinbHogg,102.50,2,2
Matches/MatchScorecard_ODI.asp?MatchCode=4307,27,runout,71.88,4,0
Matches/MatchScorecard_T20.asp?MatchCode=0641,74,lbwbRubelHossain,134.09,5,1
Matches/MatchScorecard_ODI.asp?MatchCode=4086,88,c&amp;bMehidyHasanMiraz,107.35,9,1
Matches/MatchScorecard_ODI.asp?MatchCode=4419,0,bStarc,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1109,6,bStarc,166.67,1,0
Matches/MatchScorecard_T20.asp?MatchCode=1091,91,cStarcbZampa,148.94,5,4
Matches/MatchScorecard_T20.asp?MatchCode=1089,2,bStarc,66.67,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0533,54,bFaulkner,157.14,8,1
Matches/MatchScorecard_ODI.asp?MatchCode=3771,1,c†WilsonbMooney,25.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4334,54,cImam-ul-HaqbShadabKhan,78.33,3,2
Matches/MatchScorecard_ODI.asp?MatchCode=4247,104,csubbUsmanShinwari,143.10,11,3
Matches/MatchScorecard_ODI.asp?MatchCode=4244,0,lbwbShaheenShahAfridi,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4241,37,runout,91.67,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4037,35,lbwbMohammadHafeez,67.35,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3816,2,cSabbirRahmanbMustafizurRahman,22.22,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3813,40,cSabbirRahmanbNasirHossain,85.37,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3818,8,bMustafizurRahman,87.50,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0438,52,cSabbirRahmanbArafatSunny,141.94,4,2
Matches/MatchScorecard_T20.asp?MatchCode=0437,14,cLitonDasbNasirHossain,150.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=4421,32,bHazlewood,83.87,2,2
Matches/MatchScorecard_ODI.asp?MatchCode=4415,16,c†CareybHazlewood,93.75,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4351,63,cStarcbLyon,101.96,7,0
Matches/MatchScorecard_T20.asp?MatchCode=0729,26,st†CareybMaxwell,137.50,0,2
Matches/MatchScorecard_ODI.asp?MatchCode=4226,4,c†CareybStarc,57.14,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4224,10,cZampabStarc,75.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4222,54,cHazlewoodbCoulter-Nile,117.50,7,0
Matches/MatchScorecard_ODI.asp?MatchCode=3950,12,cMarshbBoland,66.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3896,22,cFaulknerbHazlewood,65.52,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3940,220,cHeadbBoland,157.52,16,11
Matches/MatchScorecard_ODI.asp?MatchCode=3947,21,cZampabTremain,128.57,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3894,22,lbwbHazlewood,78.26,2,1
Matches/MatchScorecard_ODI.asp?MatchCode=3903,6,notout,100.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3945,84,cWorrallbTremain,142.86,6,2
Matches/MatchScorecard_T20.asp?MatchCode=0532,8,c&amp;bCoulter-Nile,87.50,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3942,24,cTremainbHastings,91.67,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0369,51,notout,205.00,2,4
Matches/MatchScorecard_ODI.asp?MatchCode=3700,125,c†WadebCummins,86.99,14,0
Matches/MatchScorecard_ODI.asp?MatchCode=3698,17,c&amp;bMaxwell,44.74,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3697,53,cMarshbHazlewood,88.68,4,1
Matches/MatchScorecard_ODI.asp?MatchCode=3695,5,cWatsonbHazlewood,50.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3694,2,c†WadebJohnson,28.57,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3663,21,cFaulknerbStarc,105.56,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3673,8,cBaileybMaxwell,100.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3669,1,cSmithbMaxwell,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4083,47,lbwbShakibAlHasan,75.41,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3990,129,cWeerakkodybLakmal,125.29,16,0
Matches/MatchScorecard_ODI.asp?MatchCode=3989,70,cTharangabPathirana,119.57,7,2
Matches/MatchScorecard_ODI.asp?MatchCode=4029,113,c†ButtlerbAli,95.15,11,0
Matches/MatchScorecard_ODI.asp?MatchCode=3987,9,bKumara,72.73,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3992,84,cTaylorbBoult,107.81,9,1
Matches/MatchScorecard_T20.asp?MatchCode=0609,0,cSantnerbBoult,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3890,31,bStokes,64.29,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=3889,163,cRootbRashid,115.38,16,4
Matches/MatchScorecard_ODI.asp?MatchCode=3907,7,c†RamdinbGabriel,100.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3900,81,bTaylor,68.93,6,0
Matches/MatchScorecard_ODI.asp?MatchCode=3887,26,lbwbStokes,66.67,4,0
Matches/MatchScorecard_T20.asp?MatchCode=0567,11,runout,150.00,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3892,36,bBrathwaite,88.24,6,0
Matches/MatchScorecard_ODI.asp?MatchCode=3885,166,notout,143.75,12,6
Matches/MatchScorecard_ODI.asp?MatchCode=3891,5,c†ButtlerbTopley,23.53,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3841,34,cRainabAshwin,87.88,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3783,28,c†SaqlainHaiderbAmjadJaved,57.78,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3851,132,cKohlibRaina,125.29,17,1
Matches/MatchScorecard_ODI.asp?MatchCode=3848,51,cRahanebHarbhajanSingh,122.86,6,1
Matches/MatchScorecard_ODI.asp?MatchCode=3845,120,runout,87.29,11,1
Matches/MatchScorecard_ODI.asp?MatchCode=3844,39,cMMSharmabHarbhajanSingh,94.44,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3766,15,cRussellbHolder,63.16,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3750,8,cErvinebChatara,43.75,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3742,5,cCarterbHolder,57.14,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0397,31,st†ButtlerbTredwell,87.88,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0385,31,bMalinga,138.89,4,1
