match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0555,28,cWiesebAbbott
Matches/MatchScorecard_ODI.asp?MatchCode=3773,19,cJohnsonbClarke
Matches/MatchScorecard_ODI.asp?MatchCode=3437,15,bStarc
Matches/MatchScorecard_ODI.asp?MatchCode=4348,6,cHetmeyerbRoach
Matches/MatchScorecard_ODI.asp?MatchCode=4164,21,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4154,29,cGaylebMiller
Matches/MatchScorecard_ODI.asp?MatchCode=4043,2,lbwbGabriel
Matches/MatchScorecard_ODI.asp?MatchCode=4040,23,cHolderbNurse
Matches/MatchScorecard_ODI.asp?MatchCode=4340,20,notout
Matches/MatchScorecard_T20.asp?MatchCode=0544,48,cSibandabTiripano
Matches/MatchScorecard_T20.asp?MatchCode=0541,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3916,1,cStirlingbMcBrine
Matches/MatchScorecard_T20.asp?MatchCode=0565,1,cSammybBenn
Matches/MatchScorecard_T20.asp?MatchCode=0551,36,cPererabKulasekara
Matches/MatchScorecard_T20.asp?MatchCode=0444,21,cEvansbLeask
Matches/MatchScorecard_T20.asp?MatchCode=0441,33,notout
Matches/MatchScorecard_T20.asp?MatchCode=0440,48,cvanderMerwebAhsanMalik
Matches/MatchScorecard_ODI.asp?MatchCode=3778,64,cTaylorbAnderson
Matches/MatchScorecard_ODI.asp?MatchCode=3721,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0454,6,cDaibAmini
Matches/MatchScorecard_ODI.asp?MatchCode=3785,8,cMorganbJordan
Matches/MatchScorecard_ODI.asp?MatchCode=3764,112,cDaveybHaq
Matches/MatchScorecard_ODI.asp?MatchCode=3759,43,cMathewsbPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3754,44,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3730,56,lbwbDockrell
Matches/MatchScorecard_ODI.asp?MatchCode=3707,28,cMohammadShahzadbKrishnaChandran
Matches/MatchScorecard_ODI.asp?MatchCode=3711,1,lbwbRohanMustafa
Matches/MatchScorecard_ODI.asp?MatchCode=3623,96,runout
Matches/MatchScorecard_T20.asp?MatchCode=0340,1,cSeelaarbvanMeekeren
Matches/MatchScorecard_T20.asp?MatchCode=0336,6,cObuyabOtieno
Matches/MatchScorecard_T20.asp?MatchCode=0334,45,notout
Matches/MatchScorecard_T20.asp?MatchCode=0354,18,cAhmedShehzadbJunaidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3483,31,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3482,66,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3561,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0313,27,notout
Matches/MatchScorecard_T20.asp?MatchCode=0310,9,bWardlaw
Matches/MatchScorecard_ODI.asp?MatchCode=3560,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3310,9,bBaidwan
Matches/MatchScorecard_ODI.asp?MatchCode=3309,8,notout
Matches/MatchScorecard_T20.asp?MatchCode=0143,20,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3153,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0139,1,cHamiltonbStander
Matches/MatchScorecard_ODI.asp?MatchCode=3149,1,c&amp;bLyons
Matches/MatchScorecard_T20.asp?MatchCode=0137,2,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3166,52,cParkerbDavey
Matches/MatchScorecard_ODI.asp?MatchCode=3164,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3183,2,cOumabOdhiambo
Matches/MatchScorecard_ODI.asp?MatchCode=3147,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3142,95,c†OumabOdhiambo
Matches/MatchScorecard_T20.asp?MatchCode=0163,12,runout
Matches/MatchScorecard_T20.asp?MatchCode=0134,9,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3138,14,cDockrellbCusack
Matches/MatchScorecard_T20.asp?MatchCode=0187,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3135,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0154,8,runout
Matches/MatchScorecard_T20.asp?MatchCode=0130,15,cKJO'BrienbBotha
Matches/MatchScorecard_ODI.asp?MatchCode=3007,27,btenDoeschate
Matches/MatchScorecard_ODI.asp?MatchCode=2964,62,cDrummondbBlain
Matches/MatchScorecard_ODI.asp?MatchCode=3008,42,notout
Matches/MatchScorecard_T20.asp?MatchCode=0684,36,notout
Matches/MatchScorecard_T20.asp?MatchCode=0681,42,cMosaddeckHossainbAbuJayed
Matches/MatchScorecard_T20.asp?MatchCode=0763,20,cO'BrienbLittle
Matches/MatchScorecard_ODI.asp?MatchCode=4147,10,bEhsanKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4163,29,cWilsonbMcCarthy
Matches/MatchScorecard_ODI.asp?MatchCode=4160,2,lbwbMohammadNaveed
Matches/MatchScorecard_ODI.asp?MatchCode=4136,5,c†TaylorbChatara
Matches/MatchScorecard_T20.asp?MatchCode=0453,24,cChapmanbHaseebAmjad
Matches/MatchScorecard_ODI.asp?MatchCode=3652,42,c&amp;bWilliams
Matches/MatchScorecard_ODI.asp?MatchCode=3651,44,cKamungozibM'shangwe
Matches/MatchScorecard_ODI.asp?MatchCode=3650,6,cMasakadzabSikandarRaza
Matches/MatchScorecard_ODI.asp?MatchCode=3649,73,lbwbTiripano
Matches/MatchScorecard_ODI.asp?MatchCode=3915,26,bDockrell
Matches/MatchScorecard_ODI.asp?MatchCode=3917,12,lbwbMcCarthy
Matches/MatchScorecard_ODI.asp?MatchCode=3869,2,c†MutumbamibJongwe
Matches/MatchScorecard_ODI.asp?MatchCode=3941,14,c†MushfiqurRahimbTaskinAhmed
Matches/MatchScorecard_ODI.asp?MatchCode=3867,4,bChigumbura
Matches/MatchScorecard_ODI.asp?MatchCode=3864,3,cChigumburabSikandarRaza
Matches/MatchScorecard_T20.asp?MatchCode=0483,38,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3850,1,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3849,10,cErvinebMasakadza
Matches/MatchScorecard_T20.asp?MatchCode=0456,44,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3725,11,c†CrossbWardlaw
Matches/MatchScorecard_ODI.asp?MatchCode=3705,27,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3628,61,lbwbMohammedShami
