match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4334,2,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4241,7,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4238,43,bPhehlukwayo
Matches/MatchScorecard_ODI.asp?MatchCode=4237,1,lbwbImranTahir
Matches/MatchScorecard_T20.asp?MatchCode=0634,4,c†PainebPerera
Matches/MatchScorecard_T20.asp?MatchCode=0636,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=0635,0,cImranTahirbPerera
Matches/MatchScorecard_ODI.asp?MatchCode=4037,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3776,57,runout
Matches/MatchScorecard_T20.asp?MatchCode=0655,46,cMunrobWheeler
Matches/MatchScorecard_ODI.asp?MatchCode=4319,41,runout
Matches/MatchScorecard_T20.asp?MatchCode=0561,2,cKhawajabFaulkner
Matches/MatchScorecard_ODI.asp?MatchCode=3792,11,cWatsonbStarc
Matches/MatchScorecard_ODI.asp?MatchCode=3681,34,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3679,75,cMaxwellbJohnson
Matches/MatchScorecard_ODI.asp?MatchCode=3677,38,c†HaddinbLyon
Matches/MatchScorecard_ODI.asp?MatchCode=4292,43,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4287,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4324,12,bShankar
Matches/MatchScorecard_ODI.asp?MatchCode=4304,9,c†HopebHolder
Matches/MatchScorecard_ODI.asp?MatchCode=4300,110,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4297,24,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4294,29,csubbPlunkett
Matches/MatchScorecard_T20.asp?MatchCode=0791,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4308,64,c&amp;bWoakes
Matches/MatchScorecard_T20.asp?MatchCode=0685,110,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4227,1,notout
Matches/MatchScorecard_T20.asp?MatchCode=0723,38,cAndersonbSodhi
Matches/MatchScorecard_T20.asp?MatchCode=0722,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0720,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0719,0,lbwbStanlake
Matches/MatchScorecard_ODI.asp?MatchCode=4204,12,c†MushfiqurRahimbMustafizurRahman
Matches/MatchScorecard_ODI.asp?MatchCode=4201,46,cSharmabKuldeepYadav
Matches/MatchScorecard_ODI.asp?MatchCode=4200,8,bGulbadinNaib
Matches/MatchScorecard_ODI.asp?MatchCode=4197,6,csubbJadhav
Matches/MatchScorecard_ODI.asp?MatchCode=4194,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4225,14,c†LathambSodhi
Matches/MatchScorecard_T20.asp?MatchCode=0705,33,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4104,3,st†LathambAstle
Matches/MatchScorecard_ODI.asp?MatchCode=4178,6,notout
