match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=1079,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4023,12,notout,183.33,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4026,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0745,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0744,2,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0742,25,notout,285.71,3,1
Matches/MatchScorecard_T20.asp?MatchCode=0736,44,notout,233.33,1,4
Matches/MatchScorecard_T20.asp?MatchCode=1081,0,cWashingtonSundarbThakur,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1080,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1054,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1035,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0911,0,bDananjaya,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0901,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0902,10,lbwbDananjaya,160.00,0,1
