match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4023,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4024,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0726,1,bWaqasMaqsood,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0655,1,cFakharZamanbFaheemAshraf,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0654,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0652,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0651,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0911,8,lbwbSandakan,47.06,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0901,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0902,-,dnb,-,-,-
