match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=3273,0,bPeterson
Matches/MatchScorecard_T20.asp?MatchCode=0162,18,bSmith
Matches/MatchScorecard_ODI.asp?MatchCode=3941,2,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3394,1,lbwbUmarGul
Matches/MatchScorecard_ODI.asp?MatchCode=3356,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3354,0,c†SarfarazAhmedbShahidAfridi
Matches/MatchScorecard_T20.asp?MatchCode=0155,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3397,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3235,0,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3072,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3123,0,lbwbSehwag
Matches/MatchScorecard_ODI.asp?MatchCode=3243,2,lbwbBotha
Matches/MatchScorecard_ODI.asp?MatchCode=3158,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3338,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3319,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3317,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3315,0,bJarvis
Matches/MatchScorecard_T20.asp?MatchCode=1055,4,cRahulbChahar
Matches/MatchScorecard_T20.asp?MatchCode=1047,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1042,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3949,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4358,1,st†PererabdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=3702,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3627,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3616,17,notout
Matches/MatchScorecard_T20.asp?MatchCode=0294,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3454,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1076,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1075,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0270,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3190,5,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3188,1,c†McCullumbBennett
Matches/MatchScorecard_ODI.asp?MatchCode=3948,0,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3946,0,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4418,5,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4357,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4356,2,bPradeep
Matches/MatchScorecard_T20.asp?MatchCode=0641,1,cMillerbFrylinck
Matches/MatchScorecard_ODI.asp?MatchCode=3312,9,cSibandabVitori
Matches/MatchScorecard_T20.asp?MatchCode=0218,0,lbwbShoaibMalik
Matches/MatchScorecard_T20.asp?MatchCode=0211,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3285,10,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3262,29,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3336,4,cBishoobSammy
Matches/MatchScorecard_ODI.asp?MatchCode=3334,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3284,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3313,3,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3286,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3253,0,cPollardbBenn
Matches/MatchScorecard_ODI.asp?MatchCode=3266,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3213,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3156,18,bBopara
Matches/MatchScorecard_ODI.asp?MatchCode=3186,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3083,2,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3155,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3148,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3081,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3160,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3128,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3125,2,bMalinga
Matches/MatchScorecard_ODI.asp?MatchCode=3209,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3098,0,c†PriorbBresnan
Matches/MatchScorecard_ODI.asp?MatchCode=3079,13,cTaylorbGuptill
Matches/MatchScorecard_ODI.asp?MatchCode=3067,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3207,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3094,13,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3095,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3205,3,runout
Matches/MatchScorecard_T20.asp?MatchCode=1127,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0925,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0919,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0320,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0319,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3496,1,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3495,4,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3494,1,notout
Matches/MatchScorecard_T20.asp?MatchCode=0277,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0256,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3358,0,bShoaibMalik
Matches/MatchScorecard_T20.asp?MatchCode=0133,1,cTaylorbTuffey
