match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4385,10,cHolderbPaul
Matches/MatchScorecard_T20.asp?MatchCode=1069,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1068,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1081,6,cBrucebKuggeleijn
Matches/MatchScorecard_T20.asp?MatchCode=1080,14,cBrucebSodhi
Matches/MatchScorecard_T20.asp?MatchCode=1079,3,cSodhibBennett
Matches/MatchScorecard_T20.asp?MatchCode=1077,9,notout
Matches/MatchScorecard_T20.asp?MatchCode=1074,15,cSoutheebSodhi
Matches/MatchScorecard_T20.asp?MatchCode=1067,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1065,69,cHetmeyerbWalsh
Matches/MatchScorecard_T20.asp?MatchCode=1063,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=1055,9,notout
Matches/MatchScorecard_T20.asp?MatchCode=1047,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=1042,1,c&amp;bAfifHossain
