match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4419,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1109,2,notout,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1091,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1089,2,notout,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0743,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0741,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4241,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4238,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0740,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4415,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4351,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0729,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3947,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3894,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0670,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0669,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0667,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3989,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0629,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0628,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3992,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3900,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4310,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4127,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4133,0,cPandyabKuldeepYadav,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1082,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4408,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4405,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4401,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1084,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0781,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0776,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1087,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0926,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0921,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4269,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4271,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0716,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0715,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0711,0,c†ChandimalbUdana,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4182,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4208,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4186,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4183,-,dnb,-,-,-
