match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4307,18,c†deKockbPhehlukwayo
Matches/MatchScorecard_T20.asp?MatchCode=0634,21,bRummanRaees
Matches/MatchScorecard_ODI.asp?MatchCode=4083,26,lbwbPretorius
Matches/MatchScorecard_T20.asp?MatchCode=0636,17,bUsmanShinwari
Matches/MatchScorecard_T20.asp?MatchCode=0635,26,cShoaibMalikbSohailKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3816,6,bRabada
Matches/MatchScorecard_ODI.asp?MatchCode=3813,0,bRabada
Matches/MatchScorecard_ODI.asp?MatchCode=3818,72,notout
Matches/MatchScorecard_T20.asp?MatchCode=0438,14,cWiesebParnell
Matches/MatchScorecard_T20.asp?MatchCode=0437,6,c†deKockbAbbott
Matches/MatchScorecard_ODI.asp?MatchCode=3273,6,c†vanWykbTsotsobe
Matches/MatchScorecard_T20.asp?MatchCode=0590,28,cdeGrandhommebBoult
Matches/MatchScorecard_T20.asp?MatchCode=0589,15,runout
Matches/MatchScorecard_T20.asp?MatchCode=0588,12,cBrucebWheeler
Matches/MatchScorecard_ODI.asp?MatchCode=4329,72,bStarc
Matches/MatchScorecard_ODI.asp?MatchCode=4035,108,cHazlewoodbStarc
Matches/MatchScorecard_T20.asp?MatchCode=0402,5,cBollingerbCoulter-Nile
Matches/MatchScorecard_ODI.asp?MatchCode=4286,91,cHolderbGabriel
Matches/MatchScorecard_ODI.asp?MatchCode=4325,54,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4296,20,cHolderbGabriel
Matches/MatchScorecard_ODI.asp?MatchCode=4293,25,bNurse
Matches/MatchScorecard_T20.asp?MatchCode=0735,9,runout
Matches/MatchScorecard_T20.asp?MatchCode=0734,16,cCottrellbAllen
Matches/MatchScorecard_T20.asp?MatchCode=0733,5,cBrathwaitebCottrell
Matches/MatchScorecard_ODI.asp?MatchCode=4230,94,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4229,59,cRoachbBishoo
Matches/MatchScorecard_ODI.asp?MatchCode=4228,12,cBishoobChase
Matches/MatchScorecard_ODI.asp?MatchCode=4181,116,cPowellbBishoo
Matches/MatchScorecard_ODI.asp?MatchCode=4180,64,st†HopebBishoo
Matches/MatchScorecard_ODI.asp?MatchCode=4179,147,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3754,21,c†AfsarZazaibMirwaisAshraf
Matches/MatchScorecard_ODI.asp?MatchCode=4295,70,bRankin
Matches/MatchScorecard_T20.asp?MatchCode=0684,6,csubbMujeebUrRahman
Matches/MatchScorecard_T20.asp?MatchCode=0681,0,lbwbMujeebUrRahman
Matches/MatchScorecard_T20.asp?MatchCode=0666,33,cDananjayabAponso
Matches/MatchScorecard_ODI.asp?MatchCode=3938,23,cDawlatZadranbMirwaisAshraf
Matches/MatchScorecard_ODI.asp?MatchCode=3936,93,cNaveen-ul-HaqbMirwaisAshraf
Matches/MatchScorecard_ODI.asp?MatchCode=3941,135,csubbMohammadNabi
Matches/MatchScorecard_T20.asp?MatchCode=0672,17,cUnadkatbThakur
Matches/MatchScorecard_T20.asp?MatchCode=0677,16,cThakurbChahal
Matches/MatchScorecard_T20.asp?MatchCode=0675,32,bWashingtonSundar
Matches/MatchScorecard_ODI.asp?MatchCode=4349,8,bShaheenShahAfridi
Matches/MatchScorecard_T20.asp?MatchCode=0549,26,cImadWasimbShahidAfridi
Matches/MatchScorecard_T20.asp?MatchCode=0529,8,lbwbMohammadIrfan
Matches/MatchScorecard_T20.asp?MatchCode=0425,17,cMohammadHafeezbUmarGul
Matches/MatchScorecard_ODI.asp?MatchCode=3798,138,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3797,154,cMohammadRizwanbWahabRiaz
Matches/MatchScorecard_ODI.asp?MatchCode=3394,75,bMohammadHafeez
Matches/MatchScorecard_ODI.asp?MatchCode=3403,72,cYounisKhanbUmarGul
Matches/MatchScorecard_ODI.asp?MatchCode=3356,4,cYounisKhanbUmarGul
Matches/MatchScorecard_ODI.asp?MatchCode=3354,0,lbwbMohammadHafeez
Matches/MatchScorecard_ODI.asp?MatchCode=2845,29,cYounisKhanbAbdurRauf
Matches/MatchScorecard_T20.asp?MatchCode=0155,22,c&amp;bMohammadHafeez
Matches/MatchScorecard_ODI.asp?MatchCode=4345,25,bMohammedShami
Matches/MatchScorecard_ODI.asp?MatchCode=4047,82,bJadhav
Matches/MatchScorecard_T20.asp?MatchCode=0534,15,lbwbBumrah
Matches/MatchScorecard_T20.asp?MatchCode=0560,40,st†DhonibJadeja
Matches/MatchScorecard_ODI.asp?MatchCode=3811,6,lbwbKulkarni
Matches/MatchScorecard_ODI.asp?MatchCode=3810,16,cDhawanbKulkarni
Matches/MatchScorecard_ODI.asp?MatchCode=3808,72,cSharmabAshwin
Matches/MatchScorecard_ODI.asp?MatchCode=3791,29,c†DhonibYadav
Matches/MatchScorecard_T20.asp?MatchCode=0395,7,cRainabAshwin
Matches/MatchScorecard_ODI.asp?MatchCode=3397,80,cJadejabKumar
Matches/MatchScorecard_ODI.asp?MatchCode=3235,78,cYuvrajSinghbPatel
Matches/MatchScorecard_ODI.asp?MatchCode=3072,20,cTyagibNehra
Matches/MatchScorecard_ODI.asp?MatchCode=3069,75,cGambhirbSreesanth
Matches/MatchScorecard_ODI.asp?MatchCode=3123,25,cRainabKumar
Matches/MatchScorecard_T20.asp?MatchCode=0094,18,st†DhonibYKPathan
Matches/MatchScorecard_ODI.asp?MatchCode=2818,0,c†DhonibKumar
Matches/MatchScorecard_ODI.asp?MatchCode=2833,66,c†DhonibISharma
Matches/MatchScorecard_ODI.asp?MatchCode=2690,8,runout
Matches/MatchScorecard_ODI.asp?MatchCode=2689,51,cSehwagbMongia
Matches/MatchScorecard_ODI.asp?MatchCode=2645,64,c†DhonibPatel
Matches/MatchScorecard_ODI.asp?MatchCode=4022,76,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4025,53,c†O'BrienbKJO'Brien
Matches/MatchScorecard_T20.asp?MatchCode=0543,54,cPorterfieldbDockrell
Matches/MatchScorecard_T20.asp?MatchCode=0253,45,cSorensenbStirling
Matches/MatchScorecard_T20.asp?MatchCode=0252,0,cDockrellbJohnston
Matches/MatchScorecard_ODI.asp?MatchCode=3243,51,cPorterfieldbBotha
Matches/MatchScorecard_ODI.asp?MatchCode=3158,85,cMooneybDockrell
Matches/MatchScorecard_ODI.asp?MatchCode=3157,5,cStirlingbRankin
Matches/MatchScorecard_T20.asp?MatchCode=0563,3,runout
Matches/MatchScorecard_T20.asp?MatchCode=0494,27,cVitoribMuzarabani
Matches/MatchScorecard_T20.asp?MatchCode=0493,33,cSibandabCremer
Matches/MatchScorecard_ODI.asp?MatchCode=3338,39,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3319,50,cChigumburabPrice
Matches/MatchScorecard_ODI.asp?MatchCode=3317,74,lbwbPrice
Matches/MatchScorecard_ODI.asp?MatchCode=3315,46,runout
Matches/MatchScorecard_T20.asp?MatchCode=0682,2,cLewisbRussell
Matches/MatchScorecard_ODI.asp?MatchCode=3949,50,cVincebRashid
Matches/MatchScorecard_T20.asp?MatchCode=0251,34,cMooneybStirling
Matches/MatchScorecard_T20.asp?MatchCode=0097,24,runout
Matches/MatchScorecard_ODI.asp?MatchCode=2807,149,cPorterfieldbLangford-Smith
Matches/MatchScorecard_ODI.asp?MatchCode=2806,51,cKJO'BrienbMcCallan
Matches/MatchScorecard_ODI.asp?MatchCode=2805,15,cThompsonbLangford-Smith
Matches/MatchScorecard_ODI.asp?MatchCode=2679,33,bJohnston
Matches/MatchScorecard_ODI.asp?MatchCode=4024,26,cMunrobNeesham
Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,c†PererabRajitha
Matches/MatchScorecard_ODI.asp?MatchCode=4122,5,cGunathilakabLakmal
Matches/MatchScorecard_ODI.asp?MatchCode=4121,86,st†TaylorbCremer
Matches/MatchScorecard_ODI.asp?MatchCode=4116,97,c†DickwellabDananjaya
Matches/MatchScorecard_ODI.asp?MatchCode=4109,97,notout
Matches/MatchScorecard_T20.asp?MatchCode=0476,24,cChigumburabMadziva
Matches/MatchScorecard_T20.asp?MatchCode=0475,34,lbwbCremer
Matches/MatchScorecard_ODI.asp?MatchCode=3774,109,lbwbDavey
Matches/MatchScorecard_ODI.asp?MatchCode=3765,0,bMalinga
Matches/MatchScorecard_T20.asp?MatchCode=0362,36,cMathewsbNLTCPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3704,18,cMasakadzabMire
Matches/MatchScorecard_ODI.asp?MatchCode=3702,43,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3701,88,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3699,6,bPanyangara
Matches/MatchScorecard_T20.asp?MatchCode=0410,12,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3661,68,bNarine
Matches/MatchScorecard_ODI.asp?MatchCode=3657,42,cGaylebRoach
Matches/MatchScorecard_ODI.asp?MatchCode=3655,29,cPollardbHolder
Matches/MatchScorecard_ODI.asp?MatchCode=3645,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3644,5,c†SahabSharma
Matches/MatchScorecard_ODI.asp?MatchCode=3643,0,c†SahabYadav
