match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4086,53,cLitonDasbMehidyHasanMiraz
Matches/MatchScorecard_ODI.asp?MatchCode=3935,131,cPoynterbYoung
Matches/MatchScorecard_ODI.asp?MatchCode=4415,29,bCummins
Matches/MatchScorecard_ODI.asp?MatchCode=4405,23,lbwbJordan
Matches/MatchScorecard_T20.asp?MatchCode=1087,56,bRashid
Matches/MatchScorecard_T20.asp?MatchCode=1084,33,c†ButtlerbWood
Matches/MatchScorecard_T20.asp?MatchCode=0926,30,notout
Matches/MatchScorecard_T20.asp?MatchCode=0921,53,cJadejabChahar
Matches/MatchScorecard_T20.asp?MatchCode=1082,48,cAlibRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4408,32,lbwbRashid
Matches/MatchScorecard_ODI.asp?MatchCode=4401,109,lbwbJordan
