match_id,score,how dismissed
Matches/MatchScorecard_T20.asp?MatchCode=0664,13,cFinchbAgar
Matches/MatchScorecard_T20.asp?MatchCode=0668,3,bStoinis
Matches/MatchScorecard_T20.asp?MatchCode=0723,0,bHasanAli
Matches/MatchScorecard_T20.asp?MatchCode=0724,13,cShadabKhanbShaheenShahAfridi
Matches/MatchScorecard_T20.asp?MatchCode=1081,66,cSamsonbSaini
Matches/MatchScorecard_T20.asp?MatchCode=1080,72,runout
Matches/MatchScorecard_T20.asp?MatchCode=1079,0,notout
Matches/MatchScorecard_T20.asp?MatchCode=1077,36,notout
Matches/MatchScorecard_T20.asp?MatchCode=1074,1,cIyerbBumrah
Matches/MatchScorecard_T20.asp?MatchCode=0726,0,bImadWasim
Matches/MatchScorecard_T20.asp?MatchCode=0745,49,st†DhonibKuldeepYadav
Matches/MatchScorecard_T20.asp?MatchCode=0744,14,c†DhonibKumar
Matches/MatchScorecard_T20.asp?MatchCode=0742,105,bAhmed
Matches/MatchScorecard_T20.asp?MatchCode=1051,3,cTKCurranbJordan
Matches/MatchScorecard_T20.asp?MatchCode=1043,8,bParkinson
Matches/MatchScorecard_T20.asp?MatchCode=1054,45,bTKCurran
Matches/MatchScorecard_T20.asp?MatchCode=1040,18,c†BillingsbMahmood
Matches/MatchScorecard_T20.asp?MatchCode=1035,34,cBairstowbJordan
Matches/MatchScorecard_T20.asp?MatchCode=0665,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0662,16,notout
Matches/MatchScorecard_T20.asp?MatchCode=0736,2,cSandakanbRajitha
Matches/MatchScorecard_ODI.asp?MatchCode=4233,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0911,9,cGunathilakabMalinga
Matches/MatchScorecard_ODI.asp?MatchCode=4232,24,runout
Matches/MatchScorecard_T20.asp?MatchCode=0902,18,lbwbDananjaya
Matches/MatchScorecard_ODI.asp?MatchCode=4231,12,cPererabMalinga
Matches/MatchScorecard_T20.asp?MatchCode=0901,16,c†PererabdeSilva
