match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4249,11,lbwbChahal,62.50,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0492,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0491,1,bUmarGul,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4251,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4104,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4103,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4105,6,cFakharZamanbRummanRaees,166.67,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4101,54,bCottrell,108.89,1,2
Matches/MatchScorecard_ODI.asp?MatchCode=4100,17,notout,115.38,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4248,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4102,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0911,3,lbwbdeSilva,60.00,0,0
