match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4328,1,c†deKockbMorris
Matches/MatchScorecard_ODI.asp?MatchCode=3997,0,cDuminybParnell
Matches/MatchScorecard_ODI.asp?MatchCode=3995,2,cPhehlukwayobParnell
Matches/MatchScorecard_ODI.asp?MatchCode=3992,0,lbwbMorris
Matches/MatchScorecard_ODI.asp?MatchCode=3686,18,cAmlabdeVilliers
Matches/MatchScorecard_ODI.asp?MatchCode=3685,34,st†deKockbDuminy
Matches/MatchScorecard_ODI.asp?MatchCode=3828,63,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3827,76,cRossouwbImranTahir
Matches/MatchScorecard_ODI.asp?MatchCode=3825,18,cCremerbNyumbu
Matches/MatchScorecard_ODI.asp?MatchCode=4423,42,cShortbHazlewood
Matches/MatchScorecard_ODI.asp?MatchCode=4341,14,cSmithbStarc
Matches/MatchScorecard_ODI.asp?MatchCode=3968,31,cFaulknerbCummins
Matches/MatchScorecard_ODI.asp?MatchCode=3967,4,c&amp;bHazlewood
Matches/MatchScorecard_ODI.asp?MatchCode=3966,2,bHazlewood
Matches/MatchScorecard_ODI.asp?MatchCode=4227,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4225,1,bShaheenShahAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=4104,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=4223,77,lbwbShadabKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4103,3,cBabarAzambFaheemAshraf
Matches/MatchScorecard_ODI.asp?MatchCode=4110,9,cBabarAzambShadabKhan
Matches/MatchScorecard_ODI.asp?MatchCode=4105,38,cShoaibMalikbRummanRaees
Matches/MatchScorecard_ODI.asp?MatchCode=4333,12,c&amp;bCottrell
Matches/MatchScorecard_ODI.asp?MatchCode=4102,42,st†HopebMiller
Matches/MatchScorecard_ODI.asp?MatchCode=4101,21,c†SDHopebHolder
Matches/MatchScorecard_ODI.asp?MatchCode=4100,18,lbwbNurse
Matches/MatchScorecard_ODI.asp?MatchCode=4315,14,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4410,35,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4406,7,lbwbJadeja
Matches/MatchScorecard_ODI.asp?MatchCode=4402,83,cMohammedShamibKuldeepYadav
Matches/MatchScorecard_ODI.asp?MatchCode=4337,1,c†SarfarazAhmedbShaheenShahAfridi
Matches/MatchScorecard_ODI.asp?MatchCode=4114,2,c†SarfarazAhmedbFaheemAshraf
Matches/MatchScorecard_ODI.asp?MatchCode=3879,12,c†SarfarazAhmedbMohammadAmir
