match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4351,21,bRabada
Matches/MatchScorecard_ODI.asp?MatchCode=3896,68,cAmlabPhangiso
Matches/MatchScorecard_T20.asp?MatchCode=0539,38,cAmlabImranTahir
Matches/MatchScorecard_ODI.asp?MatchCode=3903,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0532,10,cWiesebRabada
Matches/MatchScorecard_ODI.asp?MatchCode=4319,21,cWahabRiazbMohammadAmir
Matches/MatchScorecard_ODI.asp?MatchCode=4316,47,bBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=4341,97,bBoult
Matches/MatchScorecard_ODI.asp?MatchCode=4336,24,bStokes
Matches/MatchScorecard_ODI.asp?MatchCode=4329,103,c†MushfiqurRahimbSoumyaSarkar
Matches/MatchScorecard_ODI.asp?MatchCode=4322,11,cUdanabdeSilva
Matches/MatchScorecard_ODI.asp?MatchCode=4312,15,c†HopebRussell
Matches/MatchScorecard_ODI.asp?MatchCode=4306,16,lbwbRashidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3977,32,c†MohammadRizwanbHasanAli
Matches/MatchScorecard_ODI.asp?MatchCode=3975,11,c†MohammadRizwanbMohammadAmir
Matches/MatchScorecard_ODI.asp?MatchCode=3973,18,cSharjeelKhanbJunaidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3937,96,notout
Matches/MatchScorecard_T20.asp?MatchCode=0581,6,lbwbDilshan
Matches/MatchScorecard_ODI.asp?MatchCode=3929,0,lbwbPathirana
Matches/MatchScorecard_ODI.asp?MatchCode=3888,50,c†RonchibBracewell
Matches/MatchScorecard_ODI.asp?MatchCode=3894,2,bRabada
Matches/MatchScorecard_T20.asp?MatchCode=0578,40,cNLTCPererabPathirana
Matches/MatchScorecard_ODI.asp?MatchCode=3886,61,c&amp;bSantner
Matches/MatchScorecard_ODI.asp?MatchCode=3893,32,cHolderbBenn
Matches/MatchScorecard_ODI.asp?MatchCode=3931,7,cGunathilakabMDKPerera
Matches/MatchScorecard_T20.asp?MatchCode=0566,32,c†DhonibNehra
Matches/MatchScorecard_T20.asp?MatchCode=0561,25,bWahabRiaz
Matches/MatchScorecard_T20.asp?MatchCode=0557,74,bAl-AminHossain
Matches/MatchScorecard_T20.asp?MatchCode=0552,44,runout
Matches/MatchScorecard_ODI.asp?MatchCode=4234,69,lbwbJadeja
Matches/MatchScorecard_ODI.asp?MatchCode=4268,102,cKuldeepYadavbBumrah
Matches/MatchScorecard_ODI.asp?MatchCode=4266,120,cBumrahbMohammedShami
Matches/MatchScorecard_ODI.asp?MatchCode=4263,44,cKohlibJadhav
Matches/MatchScorecard_ODI.asp?MatchCode=4277,112,cYasirShahbUsmanShinwari
Matches/MatchScorecard_ODI.asp?MatchCode=4276,72,lbwbYasirShah
Matches/MatchScorecard_ODI.asp?MatchCode=4275,0,bUsmanShinwari
Matches/MatchScorecard_ODI.asp?MatchCode=4274,100,cImam-ul-HaqbYasirShah
Matches/MatchScorecard_ODI.asp?MatchCode=4273,27,cShoaibMalikbFaheemAshraf
Matches/MatchScorecard_ODI.asp?MatchCode=4270,116,cKohlibKumar
Matches/MatchScorecard_ODI.asp?MatchCode=4258,60,cShankarbKuldeepYadav
Matches/MatchScorecard_ODI.asp?MatchCode=4236,36,c&amp;bChahal
Matches/MatchScorecard_ODI.asp?MatchCode=4235,24,runout
Matches/MatchScorecard_T20.asp?MatchCode=0501,16,c†DhonibNehra
Matches/MatchScorecard_ODI.asp?MatchCode=3909,17,c†RamdinbHolder
Matches/MatchScorecard_ODI.asp?MatchCode=3905,18,c†RamdinbGabriel
Matches/MatchScorecard_ODI.asp?MatchCode=3458,3,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3472,3,cPowellbRoach
Matches/MatchScorecard_ODI.asp?MatchCode=3471,9,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3898,109,runout
