match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=0701,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4200,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0702,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0697,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4375,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0947,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0741,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4376,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4247,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4244,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4237,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0740,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0722,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4197,0,bBumrah,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4194,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4177,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4176,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4174,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4172,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0687,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0726,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0696,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0642,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0640,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4087,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4084,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0636,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0635,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4277,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4276,8,cHandscombbStoinis,300.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=4275,0,cBehrendorffbZampa,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0356,2,notout,66.67,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0355,-,dnb,-,-,-
