match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4266,36,cRichardsonbLyon,106.67,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4338,17,c†HopebRoach,73.68,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=4332,31,lbwbRahmatShah,70.73,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4263,53,runout,112.20,5,1
Matches/MatchScorecard_ODI.asp?MatchCode=4270,18,cKhawajabZampa,76.19,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=4249,49,runout,70.31,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4258,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4242,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4239,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4236,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0672,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0677,20,cMehidyHasanMirazbSoumyaSarkar,89.47,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0675,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4324,16,notout,100.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4268,31,cMaxwellbCummins,173.33,1,2
Matches/MatchScorecard_T20.asp?MatchCode=0767,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0745,52,cdeGrandhommebSantner,153.57,5,2
Matches/MatchScorecard_T20.asp?MatchCode=0744,17,cSoutheebMitchell,175.00,1,1
Matches/MatchScorecard_T20.asp?MatchCode=0742,33,cdeGrandhommebSantner,150.00,2,2
Matches/MatchScorecard_T20.asp?MatchCode=0674,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0671,-,dnb,-,-,-
