match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4310,19,c†deKockbPhehlukwayo
Matches/MatchScorecard_ODI.asp?MatchCode=4126,126,cRabadabPhehlukwayo
Matches/MatchScorecard_ODI.asp?MatchCode=4042,88,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3841,11,cMorkelbSteyn
Matches/MatchScorecard_ODI.asp?MatchCode=3851,8,c†deKockbRabada
Matches/MatchScorecard_ODI.asp?MatchCode=3848,153,c†deKockbRabada
Matches/MatchScorecard_ODI.asp?MatchCode=3845,86,cMillerbMorkel
Matches/MatchScorecard_ODI.asp?MatchCode=3844,12,runout
Matches/MatchScorecard_T20.asp?MatchCode=0469,1,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3760,49,cduPlessisbImranTahir
Matches/MatchScorecard_T20.asp?MatchCode=0468,47,cDuminybAbbott
Matches/MatchScorecard_T20.asp?MatchCode=0405,87,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3505,33,cAmlabTsotsobe
Matches/MatchScorecard_T20.asp?MatchCode=0289,2,c†deVilliersbKallis
Matches/MatchScorecard_ODI.asp?MatchCode=3263,1,c&amp;bPeterson
Matches/MatchScorecard_ODI.asp?MatchCode=3222,2,c†deVilliersbMorkel
Matches/MatchScorecard_ODI.asp?MatchCode=3219,100,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3217,33,c†deVilliersbMorkel
Matches/MatchScorecard_ODI.asp?MatchCode=4400,101,bHazlewood
Matches/MatchScorecard_ODI.asp?MatchCode=4399,88,cStarcbZampa
Matches/MatchScorecard_ODI.asp?MatchCode=4398,17,c&amp;bZampa
Matches/MatchScorecard_ODI.asp?MatchCode=4316,92,cCumminsbStoinis
Matches/MatchScorecard_T20.asp?MatchCode=0638,0,c&amp;bBehrendorff
Matches/MatchScorecard_ODI.asp?MatchCode=4074,24,bCoulter-Nile
Matches/MatchScorecard_ODI.asp?MatchCode=4071,30,cFinchbAgar
Matches/MatchScorecard_ODI.asp?MatchCode=4069,104,bCoulter-Nile
Matches/MatchScorecard_ODI.asp?MatchCode=4067,0,cMaxwellbCoulter-Nile
