match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=1067,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0672,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0677,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0675,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1055,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1047,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1042,18,notout,280.00,0,2
Matches/MatchScorecard_T20.asp?MatchCode=0650,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4098,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1070,0,cSandakanbKumara,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1081,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1080,0,bSantner,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1065,0,c&amp;bCottrell,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=1063,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0674,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0728,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0671,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0926,5,runout,400.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0921,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0874,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0872,10,notout,160.00,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0877,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1069,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=1068,-,dnb,-,-,-
